Source,Target,Type,Weight
001p,014v,Undirected,1
023p,005v,Undirected,2
024p,004v,Undirected,2
002p,013v,Undirected,1
003p,014v,Undirected,1
035p,009v,Undirected,8
004p,011v,Undirected,1
025p,002v,Undirected,2
005p,013v,Undirected,1
026p,003v,Undirected,2
027p,008v,Undirected,7
036p,014v,Undirected,2
028p,012v,Undirected,1
006p,011v,Undirected,1
007p,005v,Undirected,1
008p,013v,Undirected,1
009p,007v,Undirected,1
010p,013v,Undirected,2
029p,011v,Undirected,2
030p,009v,Undirected,14
039p,010v,Undirected,2
031p,002v,Undirected,1
011p,004v,Undirected,2
032p,008v,Undirected,16
040p,014v,Undirected,1
012p,014v,Undirected,1
013p,011v,Undirected,1
014p,001v,Undirected,1
015p,010v,Undirected,1
016p,014v,Undirected,1
033p,007v,Undirected,1
034p,013v,Undirected,5
017p,005v,Undirected,1
018p,004v,Undirected,1
019p,012v,Undirected,1
020p,007v,Undirected,1
021p,003v,Undirected,1
022p,013v,Undirected,1
041p,006v,Undirected,16
037p,006v,Undirected,8
038p,006v,Undirected,8
001v,025p,Undirected,3
027p,006v,Undirected,1
002p,001v,Undirected,6
036p,008v,Undirected,8
016p,004v,Undirected,1
011p,006v,Undirected,1
011p,007v,Undirected,1
011p,008v,Undirected,2
016p,014v,Undirected,3
016p,009v,Undirected,7
016p,003v,Undirected,9
016p,002v,Undirected,10
